Country,Code,Strategy,Item,Cost_Original,Currency,Conversion,Cost_USD,NAP_Language
Burkina Faso,Education and Awareness,Information des mineurs artisanaux.,"Concevoir et mettre en œuvre des stratégies de communication en partenariat avec les médias locaux, les agences gouvernementales et les organisations de la société civile.",100'000.00,USD,1,100000.00,FR
Burkina Faso,Education and Awareness,Information des mineurs artisanaux.,"Impliquer les syndicats miniers et les organisations professionnelles, notamment la CONAPEM, le SYNEMAB, l’UNTEA-OR et l’AFEMIB, dans l’identification des types de messages et des supports les plus appropriés pour informer les artisans miniers.",20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Améliorer les bases de données existantes ou développer de nouvelles bases de données géospatialement liées pour suivre les tendances dans le secteur EMAPE,20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Analyser les lacunes des politiques existantes et des capacités institutionnelles relatives au secteur EMAPE et proposer des mesures correctives spécifiques.,30'000.00,USD,1,30000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Assister les artisans miniers pour la mise en place des structures commerciales minières.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Assurer les services du guichet en procédant à des évaluations continues des besoins.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Concevoir des modules de formation et dispenser une formation sur les différentes normes aux acteurs gouvernementaux et miniers.,40'000.00,USD,1,40000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Concevoir et diffuser du matériel d’information sur le cadre réglementaire de l’EMAPE.,50'000.00,USD,1,50000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Créer le guichet unique Informer et sensibiliser les artisans miniers sur les services du guichet unique par le biais d’un programme de proximité de l’ANEEMAS.,40'000.00,USD,1,40000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Élaborer des directives sur les meilleures pratiques pour la mise en œuvre des politiques proposées.,30'000.00,USD,1,30000.00,FR
